Episode,Date,Artist,Song
654,January 1,IU,"""You & I"""
655,January 8,Trouble Maker,"""Trouble Maker"""
656,January 15,T-ara,"""Lovey-Dovey"""
656 Part 1,January 22,T-ara,"""Lovey-Dovey"""
657,January 29,T-ara,"""Lovey-Dovey"""
658,February 5,Teen Top,"""Going Crazy"""
659,February 12,Seven,"""When I Can't Sing"""
660,February 19,Seven,"""When I Can't Sing"""
661,February 26,F.T. Island,"""Severely"""
662,March 4,Miss A,"""Touch"""
663,March 11,Big Bang,"""Blue"""
664,March 18,Big Bang,"""Blue"""
665,March 25,Big Bang,"""Blue"""
666,April 1,Shinee,"""Sherlock (Clue + Note)"""
667,April 8,Shinee,"""Sherlock (Clue + Note)"""
668,April 15,Shinee,"""Sherlock (Clue + Note)"""
669,April 22,CNBLUE,"""Hey You"""
670,April 29,Sistar,"""Alone"""
671,May 6,Sistar,"""Alone"""
672,May 13,Girls' Generation-TTS,"""Twinkle"""
673,May 20,Girls' Generation-TTS,"""Twinkle"""
674,May 27,Girls' Generation-TTS,"""Twinkle"""
675,June 3,Infinite,"""The Chaser"""
676,June 10,Infinite,"""The Chaser"""
677,June 17,Wonder Girls,"""Like This"""
678,June 24,Wonder Girls,"""Like This"""
679,July 1,f(x),"""Electric Shock"""
680,July 8,f(x),"""Electric Shock"""
681,July 15,Sistar,"""Loving U"""
682,July 22,Super Junior,"""Sexy, Free & Single"""
683,July 29,Super Junior,"""Sexy, Free & Single"""
684,August 5,Sistar,"""Loving U"""
685,August 12,Beast,"""Beautiful Night"""
686,August 19,Psy,"""Gangnam Style"""
687,August 26,Psy,"""Gangnam Style"""
688,September 2,Psy,"""Gangnam Style"""
689,September 9,Kara,"""Pandora"""
690,September 16,Psy,"""Gangnam Style"""
691,September 23,Psy,"""Gangnam Style"""
692,September 30,Psy,"""Gangnam Style"""
693,October 7,TVXQ,"""Catch Me"""
694,October 14,TVXQ,"""Catch Me"""
—,October 21,Gain,"""Bloom"""
—,October 28,K.Will,"""Please, Don't..."""
695,November 4,HyunA,"""Ice Cream"""
696,November 11,Miss A,"""I Don't Need A Man"""
697,November 18,Lee Hi,"""1,2,3,4"""
698,November 24,Ailee,"""I Will Show You"""
699,December 2,B1A4,"""Tried To Walk"""
700,December 9,Lee Seung-gi,"""Return"""
701,December 16,Yang Yo-seob,"""Caffeine"""
702,December 23,Yang Yo-seob,"""Caffeine"""
703,December 30,Yang Yo-seob,"""Caffeine"""
