Date,Artist,Song,Points
January 1,"No show, winner not announced",[11]
January 8,NewJeans,"""Ditto"" †","6,719",[12][13]
January 15,"""OMG""  †","8,795",[14][15]
January 22,"No show, winner not announced",[16]
January 29,NewJeans,"""Ditto""  †","7,119",[17][18]
February 5,"6,006",[19]
February 12,TXT,"""Sugar Rush Ride""","7,233",[20][21]
February 19,BSS,"""Fighting""","8,165",[22][23]
February 26,STAYC,"""Teddy Bear""","5,774",[24][25]
March 5,The Boyz,"""Roar""","6,463",[26][27]
March 12,"No show, winner not announced",[28]
March 19,NewJeans,"""OMG""  †","5,781",[29][30]
March 26,"6,309",[31]
April 2,"""Hype Boy""","5,932",[32][33]
April 9,Ive,"""Kitsch""","8,273",[34][35]
April 16,Jisoo,"""Flower"" †","8,714",[36][37]
April 23,Ive,"""I Am"" †","10,586 ‡",[38][39]
April 30,Jisoo,"""Flower"" †","7,902",[40][41]
May 7,Seventeen,"""Super""","7,884",[42][43]
May 14,Le Sserafim,"""Unforgiven""","8,466",[44][45]
May 21,Aespa,"""Spicy""","7,742",[46][47]
May 28,(G)I-dle,"""Queencard"" †","8,779",[48][49]
June 4,"9,423",[50][51]
June 11,"8,112",[52]
June 18,Ive,"""I Am"" †","6,398",[53][54]
June 25,"6,882",[55]
July 2,Jisoo,"""Flower"" †","6,961",[56]
July 9,Shinee,"""Hard""","6,666",[57][58]
July 16,Le Sserafim,"""Eve, Psyche & the Bluebeard's Wife""","6,463",[59][60]
July 23,NewJeans,"""Super Shy"" †","6,994",[61][62]
July 30,Jungkook,"""Seven"" †","8,074",[63][64]
August 6,"8,379",[65][66]
August 13,"8,425",[67]
August 20,NewJeans,"""Super Shy"" †","6,724",[68][69]
August 27,"7,211",[70]
September 3,"""ETA""","6,572",[71][72]
September 10,"6,111",[73][74]
September 17,AKMU,"""Love Lee"" †","6,337",[75][76]
September 24,"No show, winner not announced",[77]
October 1
October 8
October 15,AKMU,"""Love Lee"" †","6,330",[78][79]
October 22,"6,278",[80]
